Gene,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 13
A1CF,1.55143,1.45561,0.960803,0.868696,0.803074,0.652489,-0.576242,-0.966773,-0.362367,-0.303713,-0.491437,-0.465429,-0.0517394,-1.38095,-1.69345
AAGAB,1.71431,1.44046,1.02013,0.971231,0.661586,0.344803,-0.799792,-0.165231,-0.165932,-0.144126,-0.665623,-0.686683,-0.615945,-1.13464,-1.77455
AARS,1.46404,0.554894,1.01179,0.28143,0.529958,0.246962,0.298029,0.931945,0.806903,-0.0407095,-0.830655,-0.856793,-1.67232,-1.89141,-0.834062
AATF,2.07276,1.14379,1.25532,0.399867,0.268616,0.0646163,0.289749,0.072009,0.0102115,-0.38433,-0.593109,-0.767494,-1.40858,-1.70415,-0.719285
ABI1,1.24188,1.51884,1.05924,0.648226,0.672441,0.905853,0.313198,-0.00202631,-0.297922,-0.645236,-0.434825,-1.40969,-1.52696,-1.284,-0.759017
ACAN,1.59106,0.775258,0.829969,0.442763,0.477221,-0.580295,-0.696364,-0.55408,0.0285497,0.163252,-0.146426,0.805703,0.696373,-1.69593,-2.13705
ACO1,3.0073,0.752779,-0.22124,0.116793,0.287603,0.191481,-0.458459,-0.337439,-0.30817,0.161168,-0.154661,-0.158245,-0.499352,-0.627178,-1.75238
ACYP2,2.5128,1.30788,0.756946,0.56684,-0.11593,0.28755,-1.02077,-0.0688533,-0.810436,-0.937791,-0.527378,-1.10044,-0.741578,-0.476887,0.368047
ADGRL4,0.68748,-0.0903699,1.87064,0.907594,1.41707,0.31606,-0.981759,-0.619427,0.262259,0.530985,-1.65544,-1.25485,-0.180647,-0.998879,-0.210715
ADPRH,2.09893,1.26238,1.09089,0.695983,0.681815,-0.142912,-0.0978958,-0.234934,-0.609974,-0.795562,-0.753651,-0.581951,-1.58292,-1.1587,0.128504
AFAP1L2,1.23925,1.24464,1.6198,0.146233,1.25921,0.659764,-0.973675,0.302969,-0.294328,-0.690501,-0.753358,-0.752789,-1.27738,-1.30295,-0.426872
AFTPH,1.60051,1.11325,0.818163,0.786736,0.468646,0.474489,0.423179,0.316499,-0.641322,-0.99727,-0.137938,-1.4662,-1.55586,-1.45815,0.255269
AHSA1,2.61913,1.04451,1.25601,-0.130198,-0.11277,0.029321,-0.720483,-0.362909,0.196982,-0.48622,-0.356278,-0.653195,-1.26094,-1.16652,0.103565
ALDH18A1,1.38762,0.619031,1.07941,0.302582,-0.129177,-0.230061,0.045193,1.07863,1.00036,0.473073,-0.409472,-0.606648,-2.00006,-1.43134,-1.17913
ALG1L9P,1.23829,1.56276,1.01763,0.8741,0.443747,0.483277,-0.00270438,0.0741222,0.0270303,-0.894072,-0.9482,-0.403042,-1.95705,-1.44651,-0.0693739
ALOX15B,0.964759,1.53607,1.65723,0.903698,0.476254,-0.687516,0.566039,0.174889,-0.191829,-0.786593,-1.22449,-0.287628,-1.63519,-0.967977,-0.497713
AMIGO2,1.24507,1.5721,1.63186,0.427595,0.410352,0.906586,-0.854998,-0.135003,-0.627865,-0.419901,-0.567959,-0.82676,-0.301816,-0.637489,-1.82177
ANKFY1,2.13878,1.32023,0.859014,0.636809,0.729449,0.52027,0.0245958,-0.402212,-0.589614,-0.670047,-0.668093,-0.647098,-0.794475,-0.867389,-1.59022
ANKMY2,2.315,1.11142,1.0873,0.801853,0.183131,0.356403,-0.308235,-0.183102,-0.292181,-0.537109,-0.477641,-0.89379,-0.466976,-1.21036,-1.48571
ANKRD28,1.84017,1.15101,0.672838,0.0541496,0.307891,0.881655,0.165569,-0.143524,-0.197718,-0.0353002,-0.288611,-0.566496,-1.5923,-2.2209,-0.0284354
ANKRD45,1.90922,1.35405,1.1696,0.577881,0.729248,0.494798,-0.191883,-0.522541,-0.403719,-0.535001,-0.551591,-1.28102,-0.394651,-0.723742,-1.63064
ANO7P1,1.7299,1.79554,0.925547,0.945686,0.434208,0.0779442,-0.949798,-0.477439,-1.4344,-0.714784,-1.12009,-0.751036,-0.329534,-0.38488,0.25313
ANP32E,2.15568,1.4377,0.942262,-0.0787919,-0.249359,-0.495744,0.0627634,0.442545,-0.0484768,-0.831793,-0.488971,-1.87257,-0.181549,-1.13729,0.343597
ANXA4,1.78222,1.00726,1.35278,0.589082,0.677922,0.268909,0.501401,-0.140588,-0.124948,-0.343951,-0.563518,-1.02287,-1.25009,-1.4937,-1.23992
APOA1BP,2.52971,0.999663,0.975255,0.585312,-0.085661,0.0418519,0.00524872,0.0364507,-0.238154,-0.0074471,-0.775175,-0.984112,-1.28615,-1.34703,-0.449756
APOBEC3B-AS1,1.42354,1.21761,0.493647,0.989915,1.43089,0.498005,-0.245379,0.0366794,0.191736,-1.077,-0.907309,-0.704956,-1.75558,-0.646771,-0.945032
APOL1,1.53263,1.34429,0.760752,0.900326,1.01411,1.04596,-0.0649053,-0.132273,-0.477646,-1.14219,-1.13897,-0.748716,-0.693042,-1.19734,-1.00299
APOL6,1.58526,1.05562,1.04055,0.99323,0.918345,0.827275,0.270594,-0.213106,-0.474389,-0.705435,-0.900118,-0.787725,-0.938445,-1.5002,-1.17145
APPL1,1.9137,1.05396,1.54554,0.192425,0.232434,-0.322424,-0.395698,-0.156544,0.496502,-0.108869,-0.0161856,-0.888998,-0.443896,-1.10093,-2.00102
AR,2.42092,0.417954,0.487547,0.775167,0.135108,1.15091,-0.00990227,-0.414122,-0.358932,-0.58354,-0.974375,-0.118083,-1.8417,-0.856661,-0.23029
AREG,1.83261,0.893092,1.14661,1.70529,0.604882,0.00685878,-0.748164,-0.276651,-0.385487,-0.554117,-0.50801,-0.582399,-0.853449,-1.48405,-0.797028
ARHGAP42,1.81769,1.30296,1.06089,0.396212,0.149296,0.0721024,-0.143754,0.220023,0.311331,-0.376725,-0.831845,-0.97083,-1.33958,-1.96542,0.297662
ARHGAP5,2.7727,1.37145,0.620724,0.308412,-0.3058,-0.490667,-0.410968,0.136173,-0.551713,-0.0527376,-0.0371266,-0.379667,-0.895798,-1.05697,-1.02801
ARL5B,2.02296,1.47215,0.970992,0.577424,0.458197,0.399709,0.0626592,0.0899699,-0.274665,-0.497654,-0.686486,-1.11947,-1.11096,-1.22938,-1.13545
ARRDC3,2.23223,1.20206,0.440675,1.15342,0.364712,0.0567724,-0.230573,0.106569,-0.705658,-0.976582,-0.0476444,-0.690183,-0.411738,-0.682711,-1.81135
ASCC1,1.86169,1.39766,1.12689,0.357116,0.514464,0.323605,0.301569,0.103963,-0.233624,-0.32958,-0.71501,-1.21796,-0.990995,-0.776749,-1.72303
ATF3,1.63896,1.14202,1.07792,0.685389,1.13449,0.292611,-0.0236303,-0.915517,-0.711149,-0.292655,-1.08206,-1.52944,-0.879678,-1.02589,0.488631
ATF7IP,1.97552,2.00677,1.14338,0.453973,-0.379505,-0.341656,-0.499098,-0.834997,-0.441746,-0.320948,-0.131246,0.119457,-1.02755,-1.35156,-0.370789
ATG4A,2.09048,1.00543,1.23903,0.777968,0.103116,-0.374437,0.290114,0.265964,-0.21764,-0.042371,-0.282996,-1.19851,-1.29697,-1.4462,-0.912975
ATG4C,2.15658,1.01034,0.898156,-0.331945,-0.269676,-0.513987,-0.0525295,0.149118,0.225513,0.65569,0.108534,-1.01409,0.0859406,-0.965372,-2.14227
ATL1,1.79226,1.06693,1.12849,0.766415,0.233629,0.857465,-0.156804,-0.062189,-0.59618,-0.424877,-0.376411,-0.998393,-1.32724,-1.87984,-0.0232541
ATP1B1,2.91588,0.625393,-0.00608108,0.0512998,-0.393906,0.141783,-0.815111,0.0235668,0.0212775,0.316249,-0.524763,0.0960657,0.0301574,-0.609264,-1.87255
ATP2C1,2.18864,1.23063,0.896765,0.631656,0.457637,0.196703,-0.0817049,0.267317,-0.713874,-0.421518,-0.338953,-1.20526,-0.696907,-1.71482,-0.696318
ATP5D,1.8866,1.33238,1.53755,0.21922,0.11569,-0.0679308,0.129454,0.207127,0.141167,-0.17314,-0.607533,-1.14061,-1.04673,-1.54178,-0.991463
ATP5J2,2.37688,1.06972,1.07386,1.00576,0.115681,-0.367574,-0.249236,0.0604763,-0.0517091,-0.6734,-0.326662,-0.908543,-1.24657,-1.18446,-0.694225
AVPI1,2.25481,0.209108,1.00972,0.437045,0.701732,0.0758959,-0.17634,-0.695511,0.398851,-0.92663,-1.26867,-1.02449,-0.559146,0.914034,-1.35042
AVPR1A,2.39942,1.23458,0.81442,0.653437,0.693622,0.284711,-0.506578,-0.419029,-0.477975,-0.344153,-0.659938,-0.822082,-0.699675,-0.643342,-1.50741
AXL,2.17745,1.66976,0.56772,0.613515,0.647099,-0.116721,-1.0194,-0.685291,-0.678196,-0.95229,-0.0231064,-0.681007,-1.12208,-0.773867,0.376414
AZI2,1.94538,1.33702,0.845579,0.760888,0.974695,0.121821,0.116178,-0.0827453,-0.483512,-0.367786,-0.890038,-1.24466,-0.585292,-0.99952,-1.448
B4GALT4,1.60985,1.42605,1.09091,0.386746,0.90394,0.630439,0.256009,-0.355136,-0.711884,-0.176098,-0.625458,-0.667073,-1.67107,-1.41141,-0.685826
